giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
1;1.00;0.0;17.7;38;22;58;44;58;0;1014.6;-
1;2.00;0.0;17.4;40;35;62;51;69;0;1014.5;-
1;3.00;0.0;17.2;40;37;56;62;56;0;1014.6;-
1;4.00;0.0;16.9;41;43;57;69;47;0;1014.8;-
1;5.00;0.0;16.5;42;43;58;67;55;6;1015.0;-
1;6.00;0.0;16.4;42;44;58;64;58;304;1015.3;-
1;7.00;0.0;17.2;41;44;56;68;52;966;1015.2;-
1;8.00;0.0;18.0;40;44;52;70;55;1607;1015.5;-
1;9.00;0.0;18.8;38;42;53;63;54;2213;1015.6;-
1;10.00;0.0;20.4;32;31;63;48;47;2672;1015.5;-
1;11.00;0.0;20.9;32;28;55;48;59;2887;1015.2;-
1;12.00;0.0;21.4;30;25;77;44;49;2909;1014.7;-
1;13.00;0.0;21.1;32;24;36;42;46;2724;1013.8;-
1;14.00;0.0;22.0;29;25;33;46;36;2310;1013.1;-
1;15.00;0.0;21.7;31;28;32;44;20;1751;1012.8;-
1;16.00;0.0;21.5;32;31;54;51;36;1108;1012.6;-
1;17.00;0.0;20.3;35;31;48;49;43;440;1012.8;-
1;18.00;0.0;19.8;38;16;68;36;53;35;1013.8;-
1;19.00;0.0;19.2;39;26;74;47;72;0;1014.6;-
1;20.00;0.0;18.6;40;28;84;48;81;0;1015.3;-
1;21.00;0.0;18.0;42;22;132;40;103;0;1015.5;-
1;22.00;0.0;17.8;42;16;91;32;80;0;1015.3;-
1;23.00;0.0;16.4;48;26;55;49;54;0;1015.1;-
1;24.00;0.0;16.7;45;17;125;43;58;0;1015.2;-
2;1.00;0.0;16.5;45;11;86;24;79;0;1015.1;-
2;2.00;0.0;16.1;46;17;111;32;106;0;1014.8;-
2;3.00;0.0;15.6;48;14;86;31;59;0;1014.7;-
2;4.00;0.0;15.1;49;15;83;36;61;0;1014.6;-
2;5.00;0.0;14.5;52;32;62;43;57;14;1014.6;-
2;6.00;0.0;14.8;50;35;67;50;60;298;1014.8;-
2;7.00;0.0;15.8;47;32;64;50;62;949;1014.2;-
2;8.00;0.0;17.3;43;22;68;40;99;1493;1014.3;-
2;9.00;0.0;18.7;40;17;64;32;55;2044;1014.1;-
2;10.00;0.0;18.8;39;8;273;25;65;2475;1013.5;-
2;11.00;0.0;15.8;59;17;245;24;251;2701;1013.3;-
2;12.00;0.0;15.0;65;9;295;19;252;2552;1013.1;-
2;13.00;0.0;16.0;56;9;327;16;309;2128;1012.7;-
2;14.00;0.0;16.6;46;10;320;17;337;1901;1012.5;-
2;15.00;0.0;16.7;46;8;335;15;325;1293;1012.2;-
2;16.00;0.0;16.5;51;8;319;14;322;749;1012.0;-
2;17.00;0.0;16.5;49;10;335;17;346;275;1012.0;-
2;18.00;0.0;15.3;59;13;306;18;314;24;1011.9;-
2;19.00;0.0;15.6;56;6;286;15;310;0;1012.5;-
2;20.00;0.0;15.7;55;5;85;15;137;0;1012.3;-
2;21.00;0.0;16.6;46;8;95;17;101;0;1012.2;-
2;22.00;0.0;16.1;50;6;80;12;89;0;1012.5;-
2;23.00;0.0;13.1;73;11;332;21;209;0;1013.0;-
2;24.00;0.0;13.1;73;9;21;19;270;0;1012.4;-
3;1.00;0.0;13.5;69;4;132;13;13;0;1011.9;-
3;2.00;0.0;12.5;76;8;209;16;52;0;1011.6;-
3;3.00;0.0;12.0;80;5;124;15;199;0;1011.3;-
3;4.00;0.3;13.1;69;14;123;26;121;0;1011.3;-
3;5.00;1.0;13.7;74;18;127;33;58;1;1010.2;-
3;6.00;0.0;14.2;67;17;86;30;86;105;1010.1;-
3;7.00;0.0;14.4;67;13;180;24;196;484;1010.6;-
3;8.00;0.0;12.7;81;8;340;24;263;778;1011.1;-
3;9.00;0.0;13.9;76;4;336;13;336;1807;1010.8;-
3;10.00;0.0;15.0;68;9;234;19;241;2381;1010.3;-
3;11.00;0.0;13.3;79;17;320;26;321;1514;1010.0;-
3;12.00;0.0;13.8;75;19;323;25;328;961;1009.4;-
3;13.00;0.0;13.9;73;18;258;32;244;960;1009.2;-
3;14.00;0.0;14.2;68;14;311;30;254;2237;1008.7;-
3;15.00;0.0;13.9;68;17;322;27;312;1589;1008.1;-
3;16.00;0.0;14.1;63;14;314;24;334;471;1007.8;-
3;17.00;0.0;13.9;65;9;311;18;316;260;1007.3;-
3;18.00;0.0;13.6;63;6;129;15;320;21;1007.4;-
3;19.00;0.0;15.2;57;10;120;27;125;0;1007.8;-
3;20.00;0.0;15.0;59;11;157;27;109;0;1007.8;-
3;21.00;0.0;15.0;60;10;134;23;135;0;1007.6;-
3;22.00;0.0;15.0;61;15;128;38;123;0;1007.3;-
3;23.00;0.0;14.9;65;20;129;45;152;0;1006.9;-
3;24.00;0.0;14.8;69;19;136;39;125;0;1006.4;-
4;1.00;0.0;14.7;70;15;116;30;123;0;1005.7;-
4;2.00;0.0;14.5;72;15;127;26;114;0;1005.3;-
4;3.00;0.0;14.4;72;16;135;34;136;0;1004.9;-
4;4.00;0.0;14.3;72;15;139;29;145;0;1004.6;-
4;5.00;0.0;14.2;73;15;133;29;160;1;1004.3;-
4;6.00;0.0;14.5;72;18;132;33;149;84;1004.3;-
4;7.00;0.0;14.6;66;28;128;50;124;182;1003.7;-
4;8.00;0.0;15.3;63;31;141;62;139;525;1003.7;-
4;9.00;0.0;15.8;64;25;126;48;131;485;1003.7;-
4;10.00;0.0;16.7;58;24;141;44;125;1633;1003.4;-
4;11.00;0.0;17.5;55;24;137;42;133;2567;1002.7;-
4;12.00;0.0;17.2;57;28;134;47;136;1232;1002.1;-
4;13.00;0.0;17.6;53;31;132;53;160;2607;1001.7;-
4;14.00;0.0;18.4;51;30;130;48;145;1767;1000.7;-
4;15.00;0.0;18.4;49;28;131;58;140;1652;1000.0;-
4;16.00;0.0;17.5;51;32;136;55;109;509;1000.2;-
4;17.00;0.0;16.8;57;33;132;58;159;74;999.9;-
4;18.00;0.0;16.1;64;31;134;55;116;6;999.6;-
4;19.00;0.0;16.3;65;34;127;60;127;0;999.4;-
4;20.00;0.0;16.5;62;25;137;46;127;0;998.6;-
4;21.00;0.0;16.6;61;21;126;40;113;0;998.5;-
4;22.00;0.0;16.6;64;27;124;59;126;0;998.6;-
4;23.00;0.0;16.7;63;26;133;57;126;0;998.8;-
4;24.00;0.0;16.6;61;25;116;48;110;2;998.3;-
5;1.00;0.0;14.9;70;24;123;43;137;1;998.1;-
5;2.00;1.3;13.6;79;15;86;36;134;0;997.6;-
5;3.00;2.7;10.5;89;21;238;39;231;0;997.8;-
5;4.00;6.4;10.3;94;12;334;38;225;0;998.0;-
5;5.00;3.7;10.1;91;11;147;22;157;1;999.0;-
5;6.00;3.2;9.6;86;13;119;21;127;25;999.8;-
5;7.00;0.7;9.5;83;8;127;18;123;188;999.6;-
5;8.00;0.8;9.5;84;5;317;13;313;242;999.9;-
5;9.00;1.1;9.9;86;10;215;20;313;313;1000.7;-
5;10.00;0.5;9.9;85;16;211;25;188;393;1001.9;-
5;11.00;0.3;10.2;82;8;310;19;202;717;1002.3;-
5;12.00;0.1;10.1;83;5;271;12;324;911;1002.7;-
5;13.00;1.2;9.7;86;11;131;33;112;322;1003.4;-
5;14.00;1.7;9.6;89;16;121;28;124;208;1003.7;-
5;15.00;0.0;10.3;82;13;107;23;96;365;1003.9;-
5;16.00;0.0;10.8;78;13;116;23;95;321;1004.3;-
5;17.00;0.0;10.9;77;9;122;19;133;202;1004.6;-
5;18.00;0.0;10.7;78;10;121;16;124;35;1004.9;-
5;19.00;0.0;10.7;77;9;129;16;125;0;1005.5;-
5;20.00;0.0;10.6;77;10;137;15;136;0;1005.7;-
5;21.00;0.0;10.6;74;10;117;19;122;0;1006.1;-
5;22.00;0.0;10.8;73;7;85;13;95;0;1006.3;-
5;23.00;0.0;10.6;72;6;117;11;126;0;1006.6;-
5;24.00;0.0;9.9;76;8;95;13;121;0;1006.3;-
6;1.00;0.0;9.6;77;8;89;15;69;0;1006.3;-
6;2.00;0.0;9.2;78;7;137;15;60;0;1006.1;-
6;3.00;0.0;9.3;77;6;146;14;164;0;1006.0;-
6;4.00;0.0;9.9;78;4;77;7;34;0;1006.2;-
6;5.00;0.0;9.8;80;5;198;10;40;8;1006.5;-
6;6.00;0.0;10.1;82;4;161;8;173;118;1006.9;-
6;7.00;0.0;10.8;82;6;133;12;173;288;1007.3;-
6;8.00;0.0;11.9;73;6;115;13;133;595;1007.4;-
6;9.00;0.0;13.1;70;9;113;17;122;1798;1007.4;-
6;10.00;0.0;12.6;75;8;289;17;289;2554;1007.1;-
6;11.00;0.0;12.6;78;15;292;23;295;2978;1007.1;-
6;12.00;0.0;12.6;79;14;288;23;291;1699;1007.4;-
6;13.00;0.0;12.4;81;9;251;16;275;630;1008.0;-
6;14.00;0.1;11.9;84;6;38;14;51;231;1007.8;-
6;15.00;0.0;13.0;78;5;43;12;56;923;1007.5;-
6;16.00;0.0;13.3;72;4;293;10;297;938;1007.4;-
6;17.00;0.0;12.6;79;6;325;15;256;410;1007.1;-
6;18.00;0.0;12.0;84;5;351;11;316;43;1007.2;-
6;19.00;0.0;12.4;76;4;286;9;348;0;1007.2;-
6;20.00;0.0;11.8;81;3;158;8;189;0;1007.2;-
6;21.00;0.0;11.1;85;4;162;10;168;0;1007.0;-
6;22.00;0.0;10.9;87;4;263;8;105;0;1007.0;-
6;23.00;0.0;11.0;85;4;71;10;169;0;1007.0;-
6;24.00;0.0;10.7;87;4;56;10;44;0;1006.4;-
7;1.00;0.0;10.6;82;5;65;10;142;0;1006.2;-
